fit_category,product_type,fit_rating,user_bust_cm,user_waist_cm,user_hip_cm,product_chest_cm,product_waist_cm,product_hip_cm
upper_fitted,crop top,Slightly Loose,99.082273376326,73.63307190264008,105.86712741332241,101.8433219141179,72.81483651229787,104.66331315051161
lower_fitted,formal pants,Slightly Tight,75.79293564784716,84.04509029922492,115.74379543997428,77.36205513053142,81.5218091754877,111.79554208496653
upper_fitted,tank top,Slightly Loose,81.75992035131317,85.20123174830526,94.97836811484974,83.80113801359796,84.44194676241072,94.71488393234368
dresses,maxi dress,Slightly Loose,77.58136811379877,70.33294858909451,109.18032596442455,81.42404053329766,65.53269312756986,106.57860026158806
dresses,midi dress,Perfect Fit,98.56307320428675,101.93735158797155,102.09097040044853,99.18305703980126,102.51898714733395,102.07616778939341
upper_loose,kaftan,Very Tight,93.99239914003847,105.46305558329699,91.44387320946171,88.99636574060679,104.98529790578056,92.71030643232874
dresses,midi dress,Perfect Fit,92.40969910221648,68.7293840397428,101.64135052411186,91.15843722195179,67.1189641591867,101.03252469092861
lower_fitted,leggings,Slightly Tight,117.73701914090606,101.02877552180624,129.95488531026558,116.90233345355593,98.61727569638956,135.32289373627364
upper_fitted,shirt,Perfect Fit,123.9778244197013,101.9788150611719,86.01977603020539,125.91032131803966,99.31135992926494,85.4592100154972
dresses,maxi dress,Slightly Tight,110.90721359744228,103.28780439251375,115.06515241253464,109.23369421542104,102.31857583958713,117.15060818545578
upper_fitted,t-shirt,Perfect Fit,108.56521101852796,89.8458307285533,98.25865858298974,108.53234616118739,90.06819010028144,99.7852642857722
lower_fitted,skinny pants,Slightly Tight,107.04015404370936,85.41546678070532,127.65967236417848,107.52575859283978,82.67015655672124,123.86208161409242
upper_loose,oversized shirt,Perfect Fit,99.65911352686659,86.83361239859966,87.18669016858973,98.73106484487884,90.67975916649719,92.91975284421348
lower_fitted,jeans,Perfect Fit,92.07860515283957,92.7269797083918,102.20011884216392,94.60016494438206,93.59132859810353,105.68782506780056
upper_fitted,crop top,Slightly Loose,100.32904262805891,109.87274870470762,92.59156760561594,104.58443240653052,113.18588431732017,92.11280171338674
lower_loose,joggers,Perfect Fit,101.42517886256478,63.706257928560866,128.54174240807492,101.12632423357971,62.572761218617885,130.68960782382
upper_fitted,t-shirt,Perfect Fit,91.57755493622223,113.27792156692756,107.69529946334912,93.50491154326349,112.6268161827315,111.43879746452104
lower_loose,joggers,Perfect Fit,115.6546079985397,66.35019500149913,115.66636527069292,114.38846173348495,65.50431435367156,116.56798402539656
upper_loose,hoodie,Slightly Loose,112.83307548692432,108.55075810016167,99.4063464045255,117.38227496979823,106.72769558830917,103.75567455910624
lower_loose,joggers,Slightly Loose,100.18164099330544,99.62996951210027,98.64216327246226,103.69500697715628,101.63841910103152,96.84066043517099
dresses,midi dress,Perfect Fit,123.8606412901654,97.15523827066845,85.20397864702876,123.8951994988354,94.0928492333996,91.51137959332321
lower_fitted,leggings,Perfect Fit,122.28684438827636,60.62619947617092,134.73688514252171,123.42402386099974,59.64245833304541,130.90358657358144
lower_fitted,leggings,Slightly Loose,98.90585714483699,86.11011861775499,86.48400126004162,102.57355251661691,90.91276629199994,87.6004381293765
dresses,bodycon dress,Slightly Loose,98.39505219854664,99.25998293848235,133.02910402523594,101.5437727664179,99.21321351044661,133.80954210103755
upper_loose,kaftan,Slightly Loose,87.93135150829116,69.17438938677118,131.8858623925724,90.73612835274454,68.90299619078499,130.58871404961297
upper_loose,kaftan,Slightly Tight,98.06495574814178,110.2443316287706,101.64938911784014,96.02806708541675,104.88920009233762,102.94422636162996
upper_fitted,crop top,Perfect Fit,85.05034964511924,111.6440371043557,94.1830526009394,85.67924238071657,108.9362082086682,91.4087246619186
lower_loose,joggers,Perfect Fit,105.78987867337375,109.48887726062677,97.85482949056711,107.7670710392456,109.15478411344428,96.60589521474566
dresses,bodycon dress,Perfect Fit,80.57856061368572,98.90489998704459,133.58316948676998,82.10405515269473,96.9447783347882,135.50188827777325
upper_fitted,tank top,Very Loose,82.98751471808357,69.62846576890276,98.65964390827857,89.70233490664222,71.3051615393388,94.48656631871759
upper_fitted,shirt,Slightly Loose,118.48384481122397,110.88611946123429,88.81389595303148,122.62308034775887,109.00209240101981,86.81854211510851
dresses,midi dress,Slightly Tight,94.35353029778162,93.6451792623844,134.669632639368,91.9823522876013,91.71877885363922,133.8074897144091
upper_loose,oversized shirt,Perfect Fit,77.30697473927212,102.48224295567938,87.59191552097616,78.36400838761246,98.88665885935134,87.93868157825777
upper_loose,loose kurti,Slightly Loose,90.92056591442028,100.57522767559834,132.66928704202505,93.11787143859772,102.03639163943859,135.928170627072
upper_fitted,fitted kurti,Slightly Tight,75.54804155262872,105.41719887824465,126.07104446062647,73.37010306339445,102.82848940793907,127.31379339958954
lower_fitted,skinny pants,Perfect Fit,106.50951694728545,95.23415897635195,132.96776331702446,105.64386711384508,95.57685363159364,136.8158945779451
lower_fitted,jeans,Perfect Fit,109.41614972032201,100.93031172581414,99.93350813680843,111.29861315120668,100.4944613879854,99.80242633631494
upper_fitted,t-shirt,Perfect Fit,100.47755637981085,65.92247886597484,111.98087428589747,99.46231325235962,62.59400058507058,108.35737279850889
upper_fitted,crop top,Very Loose,124.30066969089971,98.69524274738973,111.96417993356813,129.86960678087158,95.85262499728985,112.06178344643743
upper_fitted,tank top,Perfect Fit,122.43033906582711,95.94312098509162,99.71378248015213,121.24234937971984,96.25909432193552,99.79080243045405
lower_fitted,leggings,Perfect Fit,114.09250296248128,74.6441043431931,130.82228293510138,112.83694398018424,76.14746313284633,133.9667422094262
lower_fitted,skinny pants,Slightly Loose,80.43450000874795,95.0140101298481,88.35955212610575,78.13249845850723,97.56126612416193,90.97182404092062
